"Time of Day","Process Name","PID","Operation","Path","Result","Detail","TID","Date & Time","Duration","Sequence","Image Path","Command Line","Parent PID","Relative Time","Completion Time","Event Class","Company","Description","Version","User","Authentication ID","Session","Virtualized","Integrity","Category","Architecture"
"1:22:18.3555840 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0","2024","10/23/2016 1:22:18 PM","0.0000009","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428138","1:22:18.3555849 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Read","32-bit"
"1:22:18.3555909 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegOpenKey","HKLM\Software\Policies\Microsoft\Cryptography","SUCCESS","Desired Access: Read","2024","10/23/2016 1:22:18 PM","0.0000051","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428207","1:22:18.3555960 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Read","32-bit"
"1:22:18.3556014 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegSetInfoKey","HKLM\SOFTWARE\Policies\Microsoft\Cryptography","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","2024","10/23/2016 1:22:18 PM","0.0000007","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428312","1:22:18.3556021 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Write Metadata","32-bit"
"1:22:18.3556080 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Cryptography\PrivKeyCacheMaxItems","NAME NOT FOUND","Length: 144","2024","10/23/2016 1:22:18 PM","0.0000008","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428378","1:22:18.3556088 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Read","32-bit"
"1:22:18.3556140 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Cryptography\PrivKeyCachePurgeIntervalSeconds","NAME NOT FOUND","Length: 144","2024","10/23/2016 1:22:18 PM","0.0000006","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428438","1:22:18.3556146 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Read","32-bit"
"1:22:18.3556194 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Cryptography\PrivateKeyLifetimeSeconds","NAME NOT FOUND","Length: 144","2024","10/23/2016 1:22:18 PM","0.0000006","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428492","1:22:18.3556200 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Read","32-bit"
"1:22:18.3556262 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Cryptography","SUCCESS","","2024","10/23/2016 1:22:18 PM","0.0000006","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428560","1:22:18.3556268 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","","32-bit"
"1:22:18.3556330 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0","2024","10/23/2016 1:22:18 PM","0.0000006","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428628","1:22:18.3556336 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Read","32-bit"
"1:22:18.3556391 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegOpenKey","HKLM\Software\Microsoft\Cryptography","SUCCESS","Desired Access: Read","2024","10/23/2016 1:22:18 PM","0.0000031","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428689","1:22:18.3556422 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Read","32-bit"
"1:22:18.3556471 PM","bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","2600","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Cryptography","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0","2024","10/23/2016 1:22:18 PM","0.0000005","n/a","C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe","""C:\Users\PLAIN7\Desktop\shared_malware\Samples\Kovter\Live\bffe7ccbcf69e7c787ff10d1dc7dbf6044bffcb13b95d851f4a735917b3a6fdf.exe"" ","1112","00:00:03.8428769","1:22:18.3556476 PM","Registry","FLasH ","The name of Nolea creates an easy-going, good-natured personality, meeting and mixing easily. You appreciate","1.00.0074","PLAIN7-PC\PLAIN7","00000000:0001446b","1","False","High","Write Metadata","32-bit"
